Hour,Price
1,1.2179869577625573
2,1.0800269577625572
3,0.9953169577625571
4,0.8634069577625572
5,0.7358169577625573
6,0.6953169577625571
7,0.6699269577625573
8,0.5202569577625572
9,0.7125369577625571
10,0.8814169577625572
11,1.0434669577625573
12,1.1780169577625572
13,1.2272069577625573
14,1.255476957762557
15,1.2283869577625572
16,1.2362769577625572
17,1.2529769577625571
18,1.2553569577625572
19,1.2502169577625573
20,1.240226957762557
21,1.2322069577625572
22,1.2216769577625572
23,1.1774869577625573
24,-1.243779440540684
25,1.2264169577625572
26,1.2162869577625572
27,1.2030069577625573
28,1.2020769577625572
29,1.2267969577625573
30,1.197216957762557
31,1.2496869577625571
32,1.4661769577625572
33,1.5686369577625572
34,-0.13168764482771156
35,1.620986957762557
36,1.5903369577625572
37,1.6042869577625574
38,-1.2075858465447602
39,1.6536069577625576
40,1.6917569577625575
41,1.7910569577625575
42,1.8845669577625572
43,1.9469169577625576
44,1.8117069577625573
45,1.6609769577625575
46,1.5155069577625573
47,1.4600069577625572
48,1.354516957762557
49,1.409186957762557
50,1.2769269577625573
51,1.2584069577625572
52,1.2090169577625571
53,1.190506957762557
54,1.3081769577625573
55,1.4358569577625573
56,1.6839669577625576
57,1.8016569577625576
58,1.8430269577625573
59,1.8627269577625576
60,1.8748069577625572
61,1.8092669577625573
62,1.7621169577625575
63,1.7903569577625573
64,1.8516869577625572
65,1.8369769577625572
66,-0.08071965901310829
67,1.8674569577625575
68,1.7631669577625573
69,1.6138269577625572
70,1.3889669577625572
71,1.2331869577625572
72,0.9669369577625573
73,0.8646369577625572
74,0.7644069577625572
75,0.5673369577625572
76,0.5585369577625572
77,0.5912569577625572
78,0.7223669577625571
79,0.7973769577625571
80,1.0288469577625572
81,-1.3777891534305873
82,1.296726957762557
83,1.3169669577625571
84,1.3085469577625573
85,1.2747869577625572
86,1.2489169577625572
87,1.2303869577625572
88,1.2762369577625572
89,1.3177569577625572
90,1.3189369577625571
91,1.3064469577625573
92,1.2740069577625572
93,1.2265769577625572
