time,mass flow base,mass flow out,mass flow in,power peak,power base,battery,power total,loss,heat in,heat out
0,333.3333333333333,0.0,0.0,0.0,300.0,0.0,300.0,0.0,0.0,0.0
1,0.0,0.0,333.3333333333333,0.0,0.0,0.0,0.0,0.0,703.3333333333334,0.0
2,0.0,0.0,333.3333333333333,0.0,0.0,703.3333333333334,0.0,1.528753969008296,703.3333333333334,0.0
3,0.0,0.0,333.3333333333333,0.0,0.0,1405.1379126976583,0.0,3.0541850630908685,703.3333333333334,0.0
4,0.0,0.0,333.3333333333333,0.0,0.0,2105.417060967901,0.0,4.576300504794967,703.3333333333334,0.0
5,0.0,0.0,333.3333333333333,0.0,0.0,2804.174093796439,0.0,6.095107500969026,703.3333333333334,0.0
6,0.0,0.0,333.3333333333333,0.0,0.0,3501.4123196288037,0.0,7.610613242796793,703.3333333333334,0.0
7,0.0,0.0,333.3333333333333,0.0,0.0,4197.13503971934,0.0,9.122824905831376,703.3333333333334,0.0
8,0.0,0.0,333.3333333333333,0.0,0.0,4891.345548146842,0.0,10.631749650029212,703.3333333333334,0.0
9,0.0,0.0,333.3333333333333,0.0,0.0,5584.047131830146,0.0,12.137394619783972,703.3333333333334,0.0
10,0.0,0.0,333.3333333333333,0.0,0.0,6275.243070543695,0.0,13.639766943960398,703.3333333333334,0.0
11,333.3333333333333,0.0,0.0,0.0,300.0,6964.936636933067,300.0,15.138873735928039,0.0,0.0
12,333.3333333333333,139.5559624957076,0.0,125.60036624613684,300.0,6949.797763197139,425.60036624613684,15.105968124586642,0.0,247.57227746738528
13,333.3333333333333,139.5559624957076,0.0,125.60036624613684,300.0,6687.119517605167,425.60036624613684,14.535014934272619,0.0,247.57227746738528
14,333.3333333333333,139.5559624957076,0.0,125.60036624613684,300.0,6425.01222520351,425.60036624613684,13.96530275858771,0.0,247.57227746738528
15,333.3333333333333,139.5559624957076,0.0,125.60036624613684,300.0,6163.4746449775375,425.60036624613684,13.396828900082571,0.0,247.57227746738528
16,333.3333333333333,139.5559624957076,0.0,125.60036624613684,300.0,5902.505538610069,425.60036624613684,12.829590667170988,0.0,247.57227746738528
17,333.3333333333333,139.5559624957076,0.0,125.60036624613684,300.0,5642.103670475512,425.60036624613684,12.263585374117133,0.0,247.57227746738528
18,333.3333333333333,139.5559624957076,0.0,125.60036624613684,300.0,5382.267807634011,425.60036624613684,11.698810341022854,0.0,247.57227746738528
19,333.3333333333333,139.5559624957076,0.0,125.60036624613684,300.0,5122.996719825604,425.60036624613684,11.135262893814986,0.0,247.57227746738528
20,333.3333333333333,139.5559624957076,0.0,125.60036624613684,300.0,4864.289179464404,425.60036624613684,10.572940364232677,0.0,247.57227746738528
21,333.3333333333333,139.5559624957076,0.0,125.60036624613684,300.0,4606.143961632786,425.60036624613684,10.011840089814767,0.0,247.57227746738528
22,333.3333333333333,0.0,0.0,0.0,300.0,4348.559844075587,300.0,9.45195941388718,0.0,0.0
23,0.0,0.0,333.3333333333333,0.0,0.0,4339.1078846617,0.0,9.431414787628102,703.3333333333334,0.0
24,333.3333333333333,45.59704036814479,0.0,41.037336331330316,300.0,5033.009803207405,341.0373363313303,10.939668785845,0.0,80.88914961308886
25,333.3333333333333,0.0,0.0,0.0,300.0,4941.180984808471,300.0,10.740071149925505,0.0,0.0
26,333.3333333333333,0.0,0.0,0.0,300.0,4930.4409136585455,300.0,10.716726704810036,0.0,0.0
27,333.3333333333333,0.0,0.0,0.0,300.0,4919.724186953736,300.0,10.693433000803275,0.0,0.0
28,333.3333333333333,0.0,0.0,0.0,300.0,4909.030753952933,300.0,10.670189927615167,0.0,0.0
29,333.3333333333333,0.0,0.0,0.0,300.0,4898.360564025317,300.0,10.646997375195385,0.0,0.0
30,333.3333333333333,139.5559624957076,0.0,125.60036624613684,300.0,4887.713566650122,425.60036624613684,10.6238552337328,0.0,247.57227746738528
31,333.3333333333333,139.5559624957076,0.0,125.60036624613684,300.0,4629.517433949004,425.60036624613684,10.062644291577216,0.0,247.57227746738528
32,333.3333333333333,139.5559624957076,0.0,125.60036624613684,300.0,4371.882512190042,425.60036624613684,9.502653188457565,0.0,247.57227746738528
