time,mass flow base,mass flow out,mass flow in,power peak,power base,battery,power total,loss,heat in,heat out
0,269.53959766409844,0.0,63.79373566923488,0.0,242.5856378976886,0.0,242.5856378976886,0.0,134.6047822620856,0.0
1,0.0,0.0,333.3333333333333,0.0,0.0,134.6047822620856,0.0,0.2925747798066268,703.3333333333334,0.0
2,0.0,0.0,333.3333333333333,0.0,0.0,837.6455408156122,0.0,1.8206928130009021,703.3333333333334,0.0
3,0.0,0.0,333.3333333333333,0.0,0.0,1539.1581813359446,0.0,3.345489353529265,703.3333333333334,0.0
4,0.0,0.0,333.3333333333333,0.0,0.0,2239.1460253157484,0.0,4.866971620934504,703.3333333333334,0.0
5,0.0,0.0,333.3333333333333,0.0,0.0,2937.6123870281476,0.0,6.385146819067131,703.3333333333334,0.0
6,0.0,0.0,333.3333333333333,0.0,0.0,3634.5605735424133,0.0,7.900022136119479,703.3333333333334,0.0
7,0.0,0.0,333.3333333333333,0.0,0.0,4329.993884739627,0.0,9.411604744659748,703.3333333333334,0.0
8,0.0,0.0,333.3333333333333,0.0,0.0,5023.9156133283,0.0,10.919901801665954,703.3333333333334,0.0
9,0.0,0.0,333.3333333333333,0.0,0.0,5716.329044859968,0.0,12.424920448559828,703.3333333333334,0.0
10,0.0,0.0,333.3333333333333,0.0,0.0,6407.237457744741,0.0,13.926667811240614,703.3333333333334,0.0
11,333.3333333333333,168.5563486298408,0.0,151.70071376685672,300.0,7096.644123266834,451.7007137668567,15.425151000118824,0.0,299.0189624693376
12,333.3333333333333,168.5563486298408,0.0,151.70071376685672,300.0,6782.200009797378,451.7007137668567,14.74168035580926,0.0,299.0189624693376
13,333.3333333333333,168.5563486298408,0.0,151.70071376685672,300.0,6468.43936697223,451.7007137668567,14.059695292248778,0.0,299.0189624693376
14,333.3333333333333,168.5563486298408,0.0,151.70071376685672,300.0,6155.360709210644,451.7007137668567,13.37919258040307,0.0,299.0189624693376
15,333.3333333333333,168.5563486298408,0.0,151.70071376685672,300.0,5842.962554160903,451.7007137668567,12.700168998256396,0.0,299.0189624693376
16,333.3333333333333,168.5563486298408,0.0,151.70071376685672,300.0,5531.243422693309,451.7007137668567,12.022621330796344,0.0,299.0189624693376
17,333.3333333333333,168.5563486298408,0.0,151.70071376685672,300.0,5220.201838893176,451.7007137668567,11.346546369998597,0.0,299.0189624693376
18,333.3333333333333,168.5563486298408,0.0,151.70071376685672,300.0,4909.836330053839,451.7007137668567,10.671940914811753,0.0,299.0189624693376
